Seq_Name,Location,Seq_Length,Mol_Wght(T),H/phob(T),H/philic,Uniq(T),Isoelc(Pi),group1_AlNP,group2_ArNP,group3_NeP,group4_AP,group5_BP,group6_Uniq
ODO2_YEAST,Mitochondrion,463,58689,495.5,-642.2,-52.4,2839.12,29.58963283,5.183585313,25.91792657,12.95896328,14.90280778,11.44708423
RT02_YEAST,Mitochondrion,115,15574,134,-180.9,-12,757.26,26.95652174,10.43478261,24.34782609,13.04347826,21.73913043,10.43478261
HMGL_HUMAN,Mitochondrion,325,40182,403.7,-318.6,-34.4,1974.18,35.07692308,5.538461538,26.76923077,8.923076923,11.07692308,13.53846154
GCST_BOVIN,Mitochondrion,397,49947,466.2,-436.1,-46,2428.3,33.75314861,5.289672544,24.93702771,7.052896725,13.35012594,13.09823678
SODM_ONCVO,Mitochondrion,223,28988,249.3,-278.4,-19.6,1361.72,33.1838565,8.968609865,21.97309417,11.65919283,14.79820628,11.21076233
GLYM_RABIT,Mitochondrion,475,61111,517.2,-627.6,-54.4,2919.53,31.15789474,7.789473684,21.26315789,8.631578947,14.94736842,12.84210526
CISY_PIG,Mitochondrion,464,59904,506.9,-540.5,-48.8,2825.59,31.89655172,8.836206897,24.13793103,9.267241379,13.36206897,12.06896552
CAH5_HUMAN,Mitochondrion,305,40183,282.4,-368,-39.6,1853.57,26.55737705,11.80327869,27.54098361,10.49180328,12.45901639,12.78688525
RM11_ACACA,Mitochondrion,339,45231,549,-429.3,-14.4,2116.23,35.10324484,14.45427729,28.61356932,14.15929204,14.15929204,4.424778761
RT08_YEAST,Mitochondrion,219,28993,262.4,-387.5,-14.4,1282.54,28.31050228,7.305936073,20.0913242,15.06849315,15.52511416,6.849315068
ECHA_HUMAN,Mitochondrion,763,96579,933.3,-939.7,-80,4695.02,32.37221494,6.553079948,22.01834862,8.256880734,14.80996068,13.23722149
RT14_PARTE,Mitochondrion,102,14077,104.4,-188.7,-0.8,685.1,26.47058824,7.843137255,30.39215686,13.7254902,27.45098039,1.960784314
GCSH_BOVIN,Mitochondrion,173,21866,188.6,-207.4,-20,1036.83,32.3699422,6.936416185,21.96531792,16.1849711,11.56069364,13.29479769
ADRO_BOVIN,Mitochondrion,498,63891,562.2,-619,-79.6,3073.18,30.92369478,7.228915663,20.2811245,7.228915663,14.0562249,16.46586345
HEM1_RAT,Mitochondrion,642,82585,661.8,-803.3,-81.2,3957.31,28.19314642,6.853582555,27.41433022,9.034267913,15.26479751,12.46105919
ATPU_YEAST,Mitochondrion,580,77867,674.7,-841.9,-37.6,3629.59,28.62068966,10.34482759,24.31034483,9.137931034,18.79310345,6.896551724
RM14_PARTE,Mitochondrion,119,15750,138.8,-174,-10.4,808.38,26.05042017,10.08403361,20.16806723,5.042016807,26.8907563,11.76470588
ODPB_SCHPO,Mitochondrion,366,46148,452.6,-413.7,-42,2212.58,34.9726776,7.650273224,21.58469945,9.56284153,12.02185792,12.29508197
RM16_ACACA,Mitochondrion,141,18893,164,-207.8,-12.4,939.38,28.36879433,10.63829787,20.56737589,8.510638298,24.82269504,9.219858156
OTC_ASPNG,Mitochondrion,370,46521,423,-442.8,-46.8,2272.27,32.43243243,6.216216216,21.89189189,9.459459459,14.86486486,13.78378378
ODPA_ASCSU,Mitochondrion,396,50831,364.8,-465.6,-33.2,2403.22,27.77777778,9.595959596,26.01010101,9.343434343,13.63636364,11.86868687
MTF1_YEAST,Mitochondrion,340,45502,364.7,-431.3,-38.8,2040.53,25.88235294,12.94117647,23.23529412,9.411764706,13.82352941,10.88235294
SYYM_YEAST,Mitochondrion,492,64062,580.7,-670.3,-39.2,3013.01,29.67479675,8.943089431,27.03252033,9.959349593,14.22764228,10.16260163
PUT2_YEAST,Mitochondrion,575,74694,603.9,-737.5,-63.6,3458.73,27.82608696,12,24.34782609,10.7826087,12.52173913,12
CBS1_YEAST,Mitochondrion,233,31204,290,-348.3,-14.4,1458.01,29.61373391,7.296137339,31.3304721,15.87982833,16.73819742,6.43776824
SYYM_NEUCR,Mitochondrion,669,87360,614.8,-948.9,-68.4,4135.56,26.00896861,8.22122571,25.56053812,10.31390135,16.14349776,12.55605381
ACDS_MOUSE,Mitochondrion,412,52293,454.4,-490.2,-38.4,2524.93,33.49514563,6.796116505,25,9.708737864,12.86407767,11.65048544
RMS5_NEUCR,Mitochondrion,426,57574,558.3,-664.6,-24.4,2757.42,33.09859155,11.03286385,24.17840376,15.25821596,20.18779343,5.164319249
MPP2_NEUCR,Mitochondrion,476,61047,533.8,-668.7,-33.6,2864.37,31.51260504,6.932773109,25,10.50420168,13.65546218,9.453781513
NUCG_BOVIN,Mitochondrion,299,37589,329.5,-342.3,-43.2,1848.66,34.7826087,8.361204013,19.06354515,8.361204013,13.37792642,16.05351171
PCCA_HUMAN,Mitochondrion,702,89624,826,-887.4,-62,4253.47,31.90883191,6.695156695,24.35897436,10.68376068,13.96011396,10.96866097
MPP2_RAT,Mitochondrion,489,63040,540.7,-604,-43.6,2964.6,32.10633947,6.952965235,25.56237219,11.65644172,13.29243354,10.63394683
SYKM_YEAST,Mitochondrion,576,76402,649.6,-826.6,-54.4,3523.66,27.43055556,9.375,27.08333333,12.15277778,15.10416667,9.548611111
GLYM_YEAST,Mitochondrion,490,62401,508.9,-603.4,-57.2,2994.53,28.57142857,8.163265306,25.30612245,9.387755102,14.08163265,13.87755102
BDH_RAT,Mitochondrion,344,44477,344.1,-405.5,-33.6,2114.54,27.90697674,9.593023256,25.87209302,9.302325581,14.8255814,11.3372093
BCS1_YEAST,Mitochondrion,456,59347,477.6,-602.3,-46.4,2777.84,26.97368421,9.429824561,26.75438596,9.868421053,14.25438596,11.62280702
RT11_ACACA,Mitochondrion,173,23174,203.8,-282.2,-10.4,1209.22,27.74566474,9.826589595,24.85549133,5.780346821,29.47976879,6.358381503
RM33_YEAST,Mitochondrion,98,12615,123.5,-150.4,-9.2,635.32,31.63265306,5.102040816,22.44897959,11.2244898,21.42857143,11.2244898
EFTS_BOVIN,Mitochondrion,338,42626,374.2,-396.2,-37.6,2050.17,31.36094675,5.917159763,25.14792899,8.875739645,13.01775148,14.49704142
GPDM_HUMAN,Mitochondrion,727,93790,817.6,-929.5,-66.4,4422.4,32.04951857,7.702888583,23.38376891,9.215955983,14.03026135,10.86657497
SYDM_YEAST,Mitochondrion,658,87200,719.4,-963.3,-67.2,4029.63,26.74772036,10.03039514,24.01215805,12.61398176,16.26139818,10.03039514
RPOM_YEAST,Mitochondrion,1351,177206,1509.1,-1990.9,-128.4,8267.84,28.57142857,7.84603997,26.12879349,11.99111769,15.91413768,9.32642487
RT17_YEAST,Mitochondrion,131,17343,174.9,-196,-8.4,830.55,34.35114504,5.34351145,22.13740458,8.396946565,19.84732824,6.870229008
RM02_KLULA,Mitochondrion,364,49205,367.3,-637.3,-32.8,2315.49,25.82417582,9.065934066,21.42857143,13.18681319,21.42857143,8.516483516
RPOM_NEUCR,Mitochondrion,1422,185161,1499.8,-2062.1,-158.8,8616.01,28.97327707,6.82137834,25.59774965,11.11111111,14.34599156,10.82981716
BCKD_RAT,Mitochondrion,412,53735,476.9,-542,-44.8,2549.84,30.33980583,7.524271845,22.33009709,6.310679612,16.74757282,11.89320388
RPM2_YEAST,Mitochondrion,1202,160807,1392.7,-1736.7,-91.2,7166.81,27.45424293,11.64725458,29.86688852,15.47420965,12.72878536,6.738768719
RT24_NEUCR,Mitochondrion,107,14012,111.8,-157.3,-15.2,694,30.8411215,8.411214953,18.69158879,4.672897196,20.56074766,13.08411215
ACDL_HUMAN,Mitochondrion,430,55337,477.4,-546.8,-38,2627.1,30.69767442,8.372093023,21.39534884,11.1627907,15.58139535,12.3255814
IATP_RAT,Mitochondrion,107,14142,84.6,-200.1,-4,687.9,23.36448598,5.607476636,17.75700935,13.08411215,27.10280374,9.345794393
THTR_BOVIN,Mitochondrion,296,38437,295.2,-367.2,-39.2,1809.06,27.36486486,11.48648649,18.91891892,9.797297297,14.86486486,14.86486486
RM44_YEAST,Mitochondrion,98,13209,106.3,-152.4,-8.8,614.99,26.53061224,8.163265306,26.53061224,12.24489796,20.40816327,7.142857143
RM38_YEAST,Mitochondrion,138,17353,166.5,-175.7,-10.8,879.2,31.88405797,2.173913043,29.71014493,7.971014493,18.11594203,10.86956522
IATP_YEAST,Mitochondrion,85,11371,70.9,-162.5,-5.2,547.55,21.17647059,5.882352941,25.88235294,11.76470588,23.52941176,8.235294118
RM20_YEAST,Mitochondrion,195,25858,152.8,-288.7,-22.4,1262.87,22.05128205,9.230769231,28.71794872,7.692307692,20.51282051,11.79487179
LONM_HUMAN,Mitochondrion,962,123643,1096.1,-1312.5,-108.4,5865.81,31.39293139,5.821205821,19.33471933,11.64241164,15.59251559,13.2016632
GPDM_YEAST,Mitochondrion,649,83970,716.4,-812.8,-67.2,3934.48,29.89214176,9.399075501,25.73189522,10.32357473,13.09707242,11.09399076
CH10_HUMAN,Mitochondrion,101,12588,131.2,-127.7,-12,620.04,32.67326733,7.920792079,13.86138614,4.95049505,14.85148515,17.82178218
ACP_NEUCR,Mitochondrion,134,16835,186.5,-175.5,-11.6,800.3,39.55223881,7.462686567,17.91044776,8.955223881,12.68656716,8.208955224
RT12_DROME,Mitochondrion,140,18016,160.4,-190.8,-18.8,921.09,30.71428571,4.285714286,25,5.714285714,21.42857143,14.28571429
GLSL_RAT,Mitochondrion,535,68774,617.2,-624,-48,3210.07,30.09345794,8.598130841,26.35514019,10.46728972,13.08411215,10.65420561
RM32_YEAST,Mitochondrion,183,24688,160.1,-315.1,-18.8,1187.21,22.95081967,7.103825137,23.49726776,8.743169399,25.13661202,10.92896175
RT03_ACACA,Mitochondrion,298,41363,395.6,-410.7,-5.2,1952.4,29.19463087,18.45637584,24.83221477,8.389261745,20.80536913,3.355704698
RMAR_YEAST,Mitochondrion,396,53937,346.1,-644.3,-15.2,2406.72,22.97979798,9.090909091,48.73737374,32.32323232,11.86868687,4.292929293
MTF1_HUMAN,Mitochondrion,246,33473,197.4,-405.2,-21.2,1577.18,22.76422764,9.756097561,23.57723577,12.19512195,22.35772358,8.130081301
RM05_ACACA,Mitochondrion,177,24906,211.5,-251.5,-5.2,1136.89,24.29378531,20.33898305,33.33333333,14.68926554,18.07909605,2.259887006
LONM_YEAST,Mitochondrion,1133,147344,1168.4,-1762.2,-108.4,6817.57,27.53751103,6.354810238,24.44836717,13.06266549,15.62224184,9.620476611
SYMM_YEAST,Mitochondrion,575,77004,610.9,-833.4,-56,3518.82,25.91304348,11.30434783,25.73913043,12,15.82608696,9.739130435
RM13_YEAST,Mitochondrion,275,36422,242,-455.8,-23.2,1705.87,23.63636364,7.636363636,29.09090909,11.63636364,18.54545455,8
SYLM_SACDO,Mitochondrion,894,118150,949.1,-1232.2,-104,5484.82,26.73378076,10.40268456,23.82550336,10.51454139,15.77181208,11.29753915
CH10_YEAST,Mitochondrion,106,13249,153,-142.3,-11.2,647.11,38.67924528,3.773584906,20.75471698,9.433962264,13.20754717,12.26415094
HCDH_PIG,Mitochondrion,307,38750,373.5,-397.5,-26,1871.69,32.5732899,6.840390879,23.45276873,9.446254072,14.98371336,10.42345277
RM06_ACACA,Mitochondrion,181,24986,233.4,-270.6,-4.8,1162.8,25.41436464,17.12707182,25.41436464,13.8121547,20.99447514,4.972375691
GCSP_HUMAN,Mitochondrion,1020,130926,1055.3,-1243.5,-122.4,6204.25,28.62745098,7.254901961,24.60784314,9.705882353,14.41176471,13.82352941
NUDM_BOVIN,Mitochondrion,343,45375,358.8,-475,-36,2078.49,28.57142857,10.49562682,21.28279883,10.49562682,15.16034985,11.37026239
RM31_YEAST,Mitochondrion,131,17842,108.9,-213.1,-15.6,884.7,20.61068702,10.6870229,24.42748092,5.34351145,26.71755725,11.45038168
RMAR_WILMR,Mitochondrion,380,51147,371.4,-587,-14.8,2383.38,25,11.31578947,36.31578947,20.52631579,16.84210526,5.789473684
RT01_YEAST,Mitochondrion,321,42460,306.4,-470.8,-26,1968.63,25.85669782,9.968847352,28.66043614,13.70716511,14.95327103,9.034267913
ALLA_RANCA,Mitochondrion,484,61889,607.8,-505.7,-59.2,2954.84,32.85123967,7.644628099,25.61983471,6.611570248,13.2231405,12.60330579
HEM6_HUMAN,Mitochondrion,354,46611,323.3,-488.4,-43.6,2166.96,23.16384181,9.88700565,21.75141243,10.16949153,17.23163842,13.84180791
PUT1_YEAST,Mitochondrion,476,61760,571.3,-626.1,-50.8,2895.32,30.88235294,8.193277311,28.1512605,12.81512605,12.81512605,10.92436975
RM14_ACACA,Mitochondrion,129,16348,203,-156.1,-6.8,839.11,37.98449612,5.426356589,27.13178295,7.751937984,17.82945736,8.527131783
DHE3_BOVIN,Mitochondrion,501,64498,536.5,-661.7,-52.4,3064.89,27.94411178,8.78243513,22.35528942,10.37924152,15.36926148,13.57285429
MDJ1_YEAST,Mitochondrion,511,64678,462.4,-708.3,-60.8,3163.14,23.48336595,7.632093933,25.83170254,8.414872798,17.02544031,15.6555773
MS51_YEAST,Mitochondrion,436,58670,396.7,-589.4,-59.6,2681.69,22.47706422,13.53211009,24.5412844,9.862385321,16.28440367,12.1559633
RT02_ACACA,Mitochondrion,312,42761,462.2,-376.5,-20.4,1957.59,29.80769231,19.55128205,25.96153846,12.5,15.38461538,5.769230769
MMSA_BOVIN,Mitochondrion,537,67644,623.1,-606.5,-65.2,3251.34,31.65735568,7.076350093,26.62942272,9.683426443,11.54562384,13.59404097
NUEM_NEUCR,Mitochondrion,375,49707,399.9,-554.1,-37.2,2304.86,28,9.6,21.86666667,12.26666667,16.53333333,10.4
RM09_YEAST,Mitochondrion,269,34579,272.9,-361.3,-32.8,1723.91,25.27881041,7.80669145,25.65055762,8.921933086,19.70260223,14.86988848
RM24_YEAST,Mitochondrion,258,34640,253.3,-421.3,-27.6,1681.85,24.41860465,10.46511628,19.76744186,10.85271318,23.25581395,11.62790698
IF2M_BOVIN,Mitochondrion,727,94738,828.8,-1082.9,-57.6,4478.41,31.63686382,5.364511692,20.22008253,11.14167813,18.43191197,9.491059147
MUTA_HUMAN,Mitochondrion,750,96488,845.9,-981.1,-80.8,4556.24,30.93333333,7.2,22.53333333,10.66666667,14.13333333,12.53333333
RT31_YEAST,Mitochondrion,123,15869,138.4,-144.2,-20,773.35,29.26829268,8.130081301,23.57723577,12.19512195,17.07317073,13.82113821
RMS5_EMENI,Mitochondrion,410,56106,435,-687.2,-15.2,2692.04,27.80487805,12.92682927,26.82926829,13.65853659,22.19512195,4.87804878
GLSK_RAT,Mitochondrion,674,86053,696.4,-820.7,-88,4095.99,27.15133531,8.160237389,24.92581602,8.902077151,13.79821958,15.28189911
RIM1_YEAST,Mitochondrion,135,17781,124.1,-215.7,-6.4,818.63,24.44444444,11.11111111,29.62962963,15.55555556,14.81481481,7.407407407
CBP4_YEAST,Mitochondrion,170,23298,157.2,-288.6,-14,1063.41,25.29411765,10,24.70588235,11.76470588,18.23529412,8.235294118
RM08_YEAST,Mitochondrion,238,31180,268.9,-353.6,-21.6,1501.87,32.35294118,4.621848739,26.8907563,11.34453782,18.48739496,7.56302521
SYTM_YEAST,Mitochondrion,462,62328,468.4,-685.6,-45.6,2821.07,24.02597403,12.12121212,24.89177489,12.98701299,16.45021645,9.74025974
PIF1_YEAST,Mitochondrion,857,112777,903.8,-1356.1,-84.8,5273.69,26.48774796,6.534422404,25.78763127,13.18553092,17.50291715,9.684947491
PMIP_RAT,Mitochondrion,710,93343,752.6,-859.4,-78.8,4287.52,28.5915493,9.85915493,23.66197183,9.577464789,13.8028169,11.69014085
GCST_YEAST,Mitochondrion,400,51614,444.1,-530.2,-42,2445.28,29.5,9,23.5,10.75,14.75,12.75
EFG1_YEAST,Mitochondrion,761,98074,845.5,-1025.5,-74.4,4604.91,28.38370565,7.358738502,25.75558476,11.43232589,14.06044678,11.43232589
GABT_HUMAN,Mitochondrion,500,65474,556.7,-637.7,-54.8,3041.01,28,9.6,24,10.4,14.8,11.8
CYC_HUMAN,Mitochondrion,104,13458,83.2,-151.8,-11.6,664.01,22.11538462,8.653846154,20.19230769,12.5,22.11538462,16.34615385
SSB_RAT,Mitochondrion,151,20135,166.6,-234,-12,941.59,27.81456954,9.271523179,25.82781457,11.25827815,15.89403974,9.933774834
HEM1_EMENI,Mitochondrion,648,80613,674.9,-760.9,-85.2,3975.64,31.63580247,5.709876543,25.46296296,8.333333333,13.58024691,14.81481481
SYEM_YEAST,Mitochondrion,536,71128,572,-756.7,-52.8,3323.34,27.23880597,9.328358209,23.69402985,11.38059701,17.91044776,10.07462687
CISY_YEAST,Mitochondrion,479,61903,535.3,-639.8,-50.8,2932.78,31.31524008,9.185803758,20.04175365,10.8559499,15.24008351,12.1085595
ECHM_HUMAN,Mitochondrion,290,36446,345.9,-337.6,-29.2,1758.13,33.79310345,6.896551724,22.4137931,11.03448276,12.75862069,12.75862069
RCA1_YEAST,Mitochondrion,825,107988,882.4,-1288.8,-85.2,5043.04,28.12121212,7.757575758,20.96969697,14.54545455,16.72727273,11.27272727
